City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Westport,US,41.1415,-73.3579,84.61,59,75,8.05,broken clouds
133,Dongkan,CN,33.9997,119.8308,78.37,93,64,1.95,broken clouds
134,Sohag,EG,26.557,31.6948,99.84,18,0,15.3,clear sky
135,Kamariotissa,GR,40.4833,25.4667,83.77,53,33,16.78,scattered clouds
136,Jiuquan,CN,39.7432,98.5174,82.45,45,4,12.77,clear sky
137,Codrington,AU,-38.2667,141.9667,47.66,88,100,19.95,light rain
138,Kaeo,NZ,-35.1,173.7833,49.32,94,95,7.83,overcast clouds
139,Azangaro,PE,-14.9167,-70.2167,52.14,46,91,0.45,overcast clouds
140,Garango,BF,11.8,-0.5506,85.96,58,56,6.24,light rain
141,Kaitangata,NZ,-46.2817,169.8464,38.39,84,96,2.75,overcast clouds
142,Ambon,ID,-3.6954,128.1814,77.23,15,75,4.61,heavy intensity rain
143,Huarmey,PE,-10.0681,-78.1522,66.88,70,54,8.93,broken clouds
144,Ibipeba,BR,-11.6408,-42.0111,88.09,18,0,2.06,clear sky
145,Belyy Yar,RU,53.6039,91.3903,66.09,67,0,6.71,clear sky
146,Buraydah,SA,26.326,43.975,106.79,13,58,17.05,broken clouds
147,Concordia,AR,-31.393,-58.0209,55.47,71,0,11.99,clear sky
148,Avarua,CK,-21.2078,-159.775,68.05,88,20,2.3,few clouds
149,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,53.42,91,100,1.1,overcast clouds
150,Barrow,US,71.2906,-156.7887,44.62,87,100,12.66,overcast clouds
151,Lere,NG,10.387,8.5726,79.41,75,85,6.96,light rain
152,Ust-Barguzin,RU,53.45,108.9833,51.87,75,81,2.08,broken clouds
153,Makinsk,KZ,52.6292,70.4169,62.87,65,65,5.5,broken clouds
154,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,83,100,10.36,light rain
155,Batemans Bay,AU,-35.7167,150.1833,52.11,92,97,5.17,overcast clouds
156,Severo-Kurilsk,RU,50.6789,156.125,54.63,95,97,11.32,overcast clouds
157,Kotka,FI,60.4664,26.9458,72.66,71,76,15.17,broken clouds
158,Bethel,US,41.3712,-73.414,83.35,58,40,8.05,scattered clouds
159,Takoradi,GH,4.8845,-1.7554,78.22,71,77,13.76,broken clouds
160,Batagay-Alyta,RU,67.8006,130.4114,55.63,73,7,1.9,clear sky
161,Lebu,CL,-37.6167,-73.65,51.55,68,85,5.35,overcast clouds
162,Mawlaik,MM,23.6333,94.4167,75.31,98,66,0.47,broken clouds
163,Bahir Dar,ET,11.5936,37.3908,61.27,97,100,4.97,moderate rain
164,Leopoldina,BR,-21.5319,-42.6431,74.48,61,100,4.76,overcast clouds
