City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Velikent,RU,2022-08-09 19:27:05,42.1863,48.0628,74.57,50,1,4.85
92,Kahului,US,2022-08-09 19:28:05,20.8947,-156.47,86.02,51,20,20.71
93,San Cristobal,VE,2022-08-09 19:26:22,7.7669,-72.225,87.98,40,67,8.63
94,Paamiut,GL,2022-08-09 19:28:06,61.994,-49.6678,41.88,91,99,15.1
95,Tabas,IR,2022-08-09 19:28:06,33.5959,56.9244,93.0,17,0,7.49
96,Kentau,KZ,2022-08-09 19:28:06,43.5206,68.5094,73.17,30,0,7.58
97,Severo-Kurilsk,RU,2022-08-09 19:23:58,50.6789,156.125,55.51,98,100,19.08
98,Nago,JP,2022-08-09 19:28:07,26.5881,127.9761,79.23,76,2,5.21
99,Pisco,PE,2022-08-09 19:24:14,-13.7,-76.2167,61.02,82,100,9.22
100,Jamestown,US,2022-08-09 19:24:57,42.097,-79.2353,73.02,62,100,8.05
101,Shumikha,RU,2022-08-09 19:28:07,55.2261,63.2961,62.82,74,0,5.32
102,Trinidad,BO,2022-08-09 19:28:08,-14.8333,-64.9,62.58,88,100,13.8
103,Riviere-Au-Renard,CA,2022-08-09 19:28:08,48.9957,-64.3971,70.09,63,4,6.82
104,Belaya Gora,RU,2022-08-09 19:28:08,68.5333,146.4167,58.08,83,2,7.76
105,Teya,RU,2022-08-09 19:28:09,60.3778,92.6267,59.38,97,100,1.32
106,Oranjestad,AW,2022-08-09 19:24:20,12.524,-70.027,84.15,79,40,20.71
107,Bereda,ES,2022-08-09 19:28:09,43.2686,-7.5406,71.42,98,4,5.91
108,Saldanha,ZA,2022-08-09 19:28:09,-33.0117,17.9442,53.65,87,100,3.83
109,Rawson,AR,2022-08-09 19:28:10,-43.3002,-65.1023,56.34,33,77,9.13
110,Shimoda,JP,2022-08-09 19:28:10,34.6667,138.95,79.11,91,58,12.37
111,Berlevag,NO,2022-08-09 19:28:11,70.8578,29.0864,57.0,82,43,14.97
112,Jalu,LY,2022-08-09 19:28:11,29.0331,21.5482,89.56,36,55,15.9
113,Belyy Yar,RU,2022-08-09 19:28:11,53.6039,91.3903,60.69,77,0,6.71
114,Bedesa,ET,2022-08-09 19:28:12,8.9,40.7833,64.24,74,100,4.52
115,Buala,SB,2022-08-09 19:28:12,-8.145,159.5921,79.41,82,100,4.65
116,La Libertad,EC,2022-08-09 19:28:12,-2.2333,-80.9,73.06,78,75,12.66
117,Hwange,ZW,2022-08-09 19:28:13,-18.3693,26.5019,70.07,26,0,1.92
118,Santa Cruz,BO,2022-08-09 19:24:30,-17.8,-63.1667,66.25,55,75,25.32
119,Tiksi,RU,2022-08-09 19:28:13,71.6872,128.8694,54.88,72,100,15.59
120,Monte Alegre,BR,2022-08-09 19:28:13,-2.0078,-54.0692,95.92,30,42,4.52
121,Bossangoa,CF,2022-08-09 19:28:14,6.4926,17.4552,73.11,90,100,2.77
122,Adrar,MR,2022-08-09 19:28:14,20.5022,-10.0711,106.86,6,100,15.86
123,Vaini,TO,2022-08-09 19:28:15,-21.2,-175.2,75.36,94,75,5.75
124,Geraldton,AU,2022-08-09 19:28:15,-28.7667,114.6,50.41,93,75,8.05
125,Ust-Omchug,RU,2022-08-09 19:28:15,61.15,149.6333,60.35,64,100,3.06
126,San Patricio,US,2022-08-09 19:28:16,28.017,-97.5169,97.52,41,75,10.8
127,Vitim,RU,2022-08-09 19:28:16,59.4511,112.5578,52.97,96,100,2.1
128,Ilave,PE,2022-08-09 19:28:16,-16.0833,-69.6667,56.3,27,48,9.53
129,Beloha,MG,2022-08-09 19:28:17,-25.1667,45.05,66.6,80,0,13.13
130,Deputatskiy,RU,2022-08-09 19:28:17,69.3,139.9,48.65,88,0,2.55
131,Mar Del Plata,AR,2022-08-09 19:28:17,-38.0023,-57.5575,51.94,83,0,6.91
132,Bethel,US,2022-08-09 19:28:18,41.3712,-73.414,94.89,62,40,9.22
133,Atar,MR,2022-08-09 19:23:57,20.5169,-13.0499,107.98,6,100,16.73
134,Bengkulu,ID,2022-08-09 19:28:18,-3.8004,102.2655,74.77,91,33,4.61
135,Cape Town,ZA,2022-08-09 19:24:08,-33.9258,18.4232,57.11,82,20,11.5
136,Flin Flon,CA,2022-08-09 19:28:19,54.7682,-101.865,64.24,59,75,14.97
137,Aklavik,CA,2022-08-09 19:28:19,68.2191,-135.0107,62.91,49,100,10.76
138,Avarua,CK,2022-08-09 19:29:19,-21.2078,-159.775,73.45,73,20,10.36
139,Guerrero Negro,MX,2022-08-09 19:29:20,27.9769,-114.0611,86.04,46,34,10.85
140,Clyde River,CA,2022-08-09 19:29:20,70.4692,-68.5914,44.83,76,40,26.46
141,Goderich,CA,2022-08-09 19:29:20,43.7501,-81.7165,68.32,68,19,11.5
142,San Quintin,MX,2022-08-09 19:29:21,30.4833,-115.95,78.57,65,13,10.22
143,Narsaq,GL,2022-08-09 19:29:21,60.9167,-46.05,50.22,64,8,4.34
144,Tailai,CN,2022-08-09 19:29:21,46.3833,123.4,63.73,45,0,11.56
145,Fare,PF,2022-08-09 19:29:22,-16.7,-151.0167,76.15,72,100,8.1
146,Mushabani,IN,2022-08-09 19:29:22,22.5167,86.45,77.07,97,100,3.87
147,Thompson,CA,2022-08-09 19:29:22,55.7435,-97.8558,60.96,72,75,13.8
148,Stornoway,GB,2022-08-09 19:29:23,58.2093,-6.3865,62.56,86,100,16.11
149,El Ocote,HN,2022-08-09 19:29:23,15.4167,-86.5667,79.57,81,94,3.85
150,Fallon,US,2022-08-09 19:29:24,39.4735,-118.7774,81.45,50,75,3.44
151,Dunedin,NZ,2022-08-09 19:26:13,-45.8742,170.5036,32.81,74,5,4.0
152,Ola,RU,2022-08-09 19:29:24,59.5833,151.2833,57.15,85,100,7.87
153,Halifax,CA,2022-08-09 19:27:41,44.6453,-63.5724,72.21,88,100,11.5
154,Flagstaff,US,2022-08-09 19:29:24,35.1981,-111.6513,82.56,44,20,12.66
155,Topeka,US,2022-08-09 19:28:30,39.0483,-95.678,87.89,55,0,6.91
156,Castro,BR,2022-08-09 19:29:28,-24.7911,-50.0119,57.65,98,100,3.56
157,Santa Cruz De Tenerife,ES,2022-08-09 19:29:29,28.4682,-16.2546,76.87,74,5,13.69
158,Rila,BG,2022-08-09 19:29:29,42.1333,23.1333,67.96,47,7,4.61
159,Hobart,AU,2022-08-09 19:26:21,-42.8794,147.3294,38.05,93,0,5.75
160,Kavieng,PG,2022-08-09 19:29:29,-2.5744,150.7967,79.93,79,100,4.54
161,Souillac,MU,2022-08-09 19:29:30,-20.5167,57.5167,68.38,68,75,12.66
162,Upernavik,GL,2022-08-09 19:29:30,72.7868,-56.1549,41.18,89,100,15.95
163,Westport,US,2022-08-09 19:29:30,41.1415,-73.3579,95.88,59,75,12.66
164,Gorontalo,ID,2022-08-09 19:29:31,0.5412,123.0595,74.08,94,48,1.97
165,Arlit,NE,2022-08-09 19:29:31,18.7369,7.3853,96.04,28,38,15.95
166,Atuona,PF,2022-08-09 19:29:31,-9.8,-139.0333,77.18,73,2,18.52
167,Tevaitoa,PF,2022-08-09 19:29:31,-16.7833,-151.5,76.24,70,99,7.9
168,Norman Wells,CA,2022-08-09 19:29:32,65.282,-126.8329,64.44,68,100,4.61
169,Aksarka,RU,2022-08-09 19:29:32,66.5606,67.7975,50.68,70,5,5.79
170,Chany,RU,2022-08-09 19:29:32,55.3121,76.7647,60.85,74,0,8.52
171,Kuytun,RU,2022-08-09 19:29:33,54.3419,101.5036,58.08,73,80,3.65
172,Pocosol,CR,2022-08-09 19:29:33,10.3667,-84.6167,84.29,76,98,5.1
173,Khash,IR,2022-08-09 19:29:34,28.2211,61.2158,85.71,18,55,11.43
174,Port Elizabeth,ZA,2022-08-09 19:29:34,-33.918,25.5701,61.32,74,0,2.3
175,Butaritari,KI,2022-08-09 19:29:34,3.0707,172.7902,81.34,77,97,14.2
176,Sandwick,GB,2022-08-09 19:29:34,60.0,-1.25,58.82,88,75,13.8
