City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
522,Utete,TZ,78.3,overcast clouds,-7.986,38.758,River View Lodge
526,Kampong Chhnang,KH,76.5,overcast clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
527,Caravelas,BR,80.69,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
528,Tomatlan,MX,85.6,overcast clouds,19.9333,-105.25,El Salvial
532,Olinda,BR,82.13,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
535,Hobyo,SO,77.22,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
540,Sibolga,ID,76.53,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
541,Nowogard,PL,79.09,clear sky,53.6744,15.1163,Pokoje Gościnne
542,Agadir,MA,81.05,clear sky,30.4202,-9.5982,Iberostar Founty Beach
543,Tura,IN,75.13,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
544,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
545,Bubaque,GW,81.55,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
550,Scranton,US,79.27,overcast clouds,41.409,-75.6624,Radisson Lackawanna Station Hotel Scranton
551,Nicosia,CY,87.49,broken clouds,35.1667,33.3667,The Landmark Nicosia
555,Taphan Hin,TH,77.67,overcast clouds,16.2209,100.4198,Rommakham Homestay
556,Katsuura,JP,80.29,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
558,Boralday,KZ,75.06,broken clouds,43.3578,76.8594,"Zhetysu, Too Zhetysu"
559,Shahr-E Kord,IR,80.37,scattered clouds,32.3256,50.8644,Shahrekord Tourist Hotel
562,Kota Kinabalu,MY,82.38,light rain,5.9749,116.0724,Gaya Centre Hotel
563,Changde,CN,79.92,overcast clouds,29.0464,111.6783,Kangshida Hotel
574,Namwala,ZM,75.9,clear sky,-15.7504,26.4384,Corner Point Lodge
577,Jaguey Grande,CU,89.74,overcast clouds,22.5269,-81.1286,Barberia hendrix
580,Praia Da Vitoria,PT,77.25,few clouds,38.7333,-27.0667,Hotel Branco I
581,Oro Valley,US,87.66,scattered clouds,32.3909,-110.9665,"El Conquistador Tucson, A Hilton Resort"
582,Kishi,NG,82.04,overcast clouds,9.0833,3.85,New NCCF KISI
584,Port-Gentil,GA,76.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
591,Takhli,TH,82.74,moderate rain,15.2634,100.3438,บ้านเพลิน
595,Huilong,CN,83.77,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
597,Boquim,BR,83.88,scattered clouds,-11.1469,-37.6206,Moda vip BOQUIM
598,The Valley,AI,89.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
600,Ojinaga,MX,89.42,clear sky,29.5667,-104.4167,Suites Las Palmas
604,Phuket,TH,82.62,light rain,8.0,98.25,The Surin
605,Vila Franca Do Campo,PT,75.61,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
606,Ozinki,RU,82.42,broken clouds,51.1786,49.6769,Korolevskiy Dvor
607,Rottingdean,GB,87.31,clear sky,50.8098,-0.0594,Snooze
608,Manono,CD,88.02,clear sky,-7.3,27.4167,Hotel hewa bora
612,Kismayo,SO,76.01,overcast clouds,-0.3582,42.5454,Agan-Hotel
618,Tuy Hoa,VN,78.58,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
620,Aksu,CN,75.02,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
621,Dwarka,IN,83.82,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
625,Porbandar,IN,83.73,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
630,Luena,AO,80.71,clear sky,-11.7833,19.9167,Hotel Kandamba
633,Zhanakorgan,KZ,77.63,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
635,Singapore,SG,84.2,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
